time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-6.12619698273e-08,3.32311519886e-07,10.0046561912,0.000288918654284,6.2827639355,0.0,1.43478274549e-05,2.85536367056e-05,0.155197198149,0.0130312901605,-0.0272625187816,0.0,454.4867332454845,452.29685496682663,454.23550763565885,455.2790737295236
0.12000000000000001,1.99004534734e-05,1.36283518183e-05,10.0227413092,0.00117618328545,6.28072109396,0.0,0.00088368781977,0.000523809264961,0.447571058093,0.0180875012148,-0.0532343636315,0.0,495.7580952036264,493.84592726694797,493.48282729315974,493.8557214693403
0.18,0.000150724437015,7.99697242495e-05,10.057368354,0.00208694592372,6.27724327078,0.0,0.0038927190988,0.00181363261581,0.706537971151,0.00861572850397,-0.0696684295289,0.0,485.82470367185505,484.58900293496475,485.0917294952406,484.37994106663854
0.23999999999999996,0.000562225638778,0.000248454115063,10.1092668864,0.00209705446326,6.2749518462,0.0,0.0102130907991,0.00385211778644,1.02318169554,-0.0277439281593,-0.00747833585359,0.0,499.8008955711267,504.3110152007219,502.26505730658124,499.62151082878836
0.3,0.00137480580986,0.000522641700858,10.1770105728,0.000536185928378,6.27431727313,0.0,0.0169343776662,0.00509621415226,1.23473651878,-0.0227627871426,-0.0176309411162,0.0,472.3752769734216,471.5919372586392,471.89124500614844,472.2754572946708
0.36000000000000004,0.00262493349405,0.000835665491366,10.2593186111,6.28204698633,6.27363143973,0.0,0.0248421394871,0.00514720233946,1.50854360479,-0.0409561818915,-0.0012625809225,0.0,490.12608057000915,491.3410757848917,490.8405972395066,489.48851871768477
0.4200000000000001,0.00429219144617,0.0011153410787,10.3506493343,6.27988637267,6.2731359678,0.0,0.0307532188964,0.00396607577443,1.53577686608,-0.0276057225477,-0.0283732932375,0.0,417.19641975098625,414.8227893416788,414.3677414180139,415.53889182065075
0.48000000000000015,0.006369823164,0.00127258665127,10.4475651799,6.27837467555,6.27144101731,0.0,0.0386868681506,0.00110135080666,1.69452675241,-0.0207640775727,-0.0280021255124,0.0,457.17037092021764,457.1997511524803,457.47267343402314,458.01698114542205
0.5400000000000001,0.0089150597677,0.00124507431474,10.5501702536,6.27728877862,6.26931203313,0.0,0.0463217582266,-0.00212476790666,1.72559303368,-0.0132389591426,-0.0578780918665,0.0,418.997455977667,416.39130758068285,416.69965958376514,417.35695392963237
0.6000000000000002,0.0120414930556,0.000973086067402,10.6599776319,6.27661140614,6.2660506839,0.0,0.0582845021591,-0.00702605221782,1.93431674468,-0.00765093959124,-0.0481090967273,0.0,472.7337184286077,473.4840156989108,472.6570564451462,473.08761503945806
0.6600000000000003,0.0159460537716,0.000397832902156,10.7814540829,6.27579281175,6.26267518299,0.0,0.0722072986161,-0.0122150275939,2.11457530304,-0.0296662267822,-0.0822738811352,0.0,465.707290068478,463.0250193707708,466.9930413023263,465.272805129143
0.7200000000000003,0.0207977863974,-0.000522095503637,10.9149028491,6.27410433657,6.25758383782,0.0,0.0901067594413,-0.0186530095416,2.33328097847,-0.0252539908086,-0.0905924935329,0.0,478.1296856252333,477.4901422380402,476.5996593604421,476.9365965825125
0.7800000000000004,0.0268076596608,-0.00185375668526,11.0599693309,6.2728412333,6.25301945455,0.0,0.11076276088,-0.0258867647206,2.5018969953,-0.0137506386759,-0.0566492282892,0.0,461.57537918958656,464.2414611980007,463.35757405844475,464.26100150035506
0.8400000000000004,0.0341994954963,-0.0036612835937,11.2166431148,6.2718375353,6.24953116165,0.0,0.136027515352,-0.0344670724321,2.72005364468,-0.0234705865839,-0.0612947239241,0.0,479.73319169163886,479.3782516012372,478.3713513435198,477.63074714172416
0.9000000000000005,0.0431152285066,-0.00598384936719,11.3841425544,6.27071503973,6.24580973671,0.0,0.16155207853,-0.043083132414,2.86289612342,-0.0105709344239,-0.0635224755911,0.0,457.0946521915643,456.9144325594716,457.2738007020259,458.3002765485004
0.9600000000000005,0.0536291618038,-0.00884008161538,11.5598015963,6.27001115249,6.24174654927,0.0,0.189316135859,-0.0521912352439,2.99205575265,-0.0141598011401,-0.0778108291249,0.0,454.98633701626983,453.8375303407203,453.6799009642634,453.3917785530985
1.0200000000000005,0.0657620766948,-0.0122154630033,11.7399549478,6.26891817593,6.23713383894,0.0,0.215530552712,-0.060406751364,3.01297771234,-0.0279023198582,-0.0750772169109,0.0,420.42778689610196,420.65951971143625,420.3979503943595,419.20548305479775
1.0800000000000005,0.0796392562082,-0.0161336790835,11.9232308864,6.26727625419,6.23281431578,0.0,0.247469275523,-0.070361756005,3.09597041901,-0.026312666245,-0.0664457501638,0.0,439.97208514382595,440.6820619431302,440.5824246230316,440.7136488082218
1.1400000000000006,0.0956254268542,-0.0207159999424,12.1135806122,6.26547581183,6.22859152899,0.0,0.285829435072,-0.0825590106487,3.24856613513,-0.0386673173585,-0.0797090591777,0.0,463.1879762667778,462.1400643107345,462.91659780834726,461.9431040493491
1.2000000000000006,0.114012182494,-0.0260737431539,12.3131306759,6.2633865327,6.22323044474,0.0,0.327572573254,-0.0962650487206,3.40261326929,-0.0280672090756,-0.128232872562,0.0,465.16426861069317,461.34102483384254,464.1909975851016,465.02161841276165
1.2600000000000007,0.135018970404,-0.0322926444132,12.5216522811,6.26167893019,6.21601799106,0.0,0.373431324794,-0.111205809713,3.54760177401,-0.0292573865942,-0.107687918241,0.0,461.6462548433629,463.25189976948747,462.05511661827876,461.96108612513126
